Dwelling Identifier,Unit No,Street No,Street Name,Dwelling Suburb,Dwelling Postcode,LGA,full_address,lat,lon,google_maps_link
10237,,10,Warrina Close,Taree,2430,Mid-Coast,"10 Warrina Close, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=10+Warrina+Close,+Taree,+2430,+Australia"
10240,,26,Teece Street,Weston,2326,Cessnock,"26 Teece Street, Weston, 2326, Australia",,,"https://www.google.com/maps/search/?api=1&query=26+Teece+Street,+Weston,+2326,+Australia"
10242,,10,Casson Avenue,Cessnock,2325,Cessnock,"10 Casson Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=10+Casson+Avenue,+Cessnock,+2325,+Australia"
10250,,46,Kanangra Drive,Taree,2430,Mid-Coast,"46 Kanangra Drive, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=46+Kanangra+Drive,+Taree,+2430,+Australia"
10284,,8,Irvine Street,Wingham,2429,Mid-Coast,"8 Irvine Street, Wingham, 2429, Australia",,,"https://www.google.com/maps/search/?api=1&query=8+Irvine+Street,+Wingham,+2429,+Australia"
10286,,16,Dalmeny Close,Hunterview,2330,Singleton,"16 Dalmeny Close, Hunterview, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=16+Dalmeny+Close,+Hunterview,+2330,+Australia"
10292,,3,Wentworth Avenue,Singleton Heights,2330,Singleton,"3 Wentworth Avenue, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=3+Wentworth+Avenue,+Singleton+Heights,+2330,+Australia"
10310,,33,Maclean Street,Cessnock,2325,Cessnock,"33 Maclean Street, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=33+Maclean+Street,+Cessnock,+2325,+Australia"
10312,5,25,North Street,Tuncurry,2428,Mid-Coast,"25 North Street, Tuncurry, 2428, Australia",,,"https://www.google.com/maps/search/?api=1&query=25+North+Street,+Tuncurry,+2428,+Australia"
10320,,20,Bright Street,Forster,2428,Mid-Coast,"20 Bright Street, Forster, 2428, Australia",,,"https://www.google.com/maps/search/?api=1&query=20+Bright+Street,+Forster,+2428,+Australia"
10335,,90,Fourth Street,Weston,2326,Cessnock,"90 Fourth Street, Weston, 2326, Australia",,,"https://www.google.com/maps/search/?api=1&query=90+Fourth+Street,+Weston,+2326,+Australia"
10340,,11,Mackellar Street,Cessnock,2325,Cessnock,"11 Mackellar Street, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=11+Mackellar+Street,+Cessnock,+2325,+Australia"
10346,,32,Divide Street,Forster,2428,Mid-Coast,"32 Divide Street, Forster, 2428, Australia",,,"https://www.google.com/maps/search/?api=1&query=32+Divide+Street,+Forster,+2428,+Australia"
10349,,8,Casson Avenue,Cessnock,2325,Cessnock,"8 Casson Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=8+Casson+Avenue,+Cessnock,+2325,+Australia"
10361,,112,Alkira Avenue,Cessnock,2325,Cessnock,"112 Alkira Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=112+Alkira+Avenue,+Cessnock,+2325,+Australia"
10372,,3,Coulson Avenue,Cessnock,2325,Cessnock,"3 Coulson Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=3+Coulson+Avenue,+Cessnock,+2325,+Australia"
10374,,28,Wentworth Avenue,Singleton Heights,2330,Singleton,"28 Wentworth Avenue, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=28+Wentworth+Avenue,+Singleton+Heights,+2330,+Australia"
10410,,5,Cook Street,Gloucester,2422,Mid-Coast,"5 Cook Street, Gloucester, 2422, Australia",,,"https://www.google.com/maps/search/?api=1&query=5+Cook+Street,+Gloucester,+2422,+Australia"
1043,,19,Girraween Street,Buff Point,2262,Central Coast (NSW),"19 Girraween Street, Buff Point, 2262, Australia",,,"https://www.google.com/maps/search/?api=1&query=19+Girraween+Street,+Buff+Point,+2262,+Australia"
10442,,33,Ronald Road,Taree,2430,Mid-Coast,"33 Ronald Road, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=33+Ronald+Road,+Taree,+2430,+Australia"
10467,,22,Coulson Avenue,Cessnock,2325,Cessnock,"22 Coulson Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=22+Coulson+Avenue,+Cessnock,+2325,+Australia"
10479,,8,Blaxland Avenue,Singleton Heights,2330,Singleton,"8 Blaxland Avenue, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=8+Blaxland+Avenue,+Singleton+Heights,+2330,+Australia"
10488,,78,Fourth Street,Weston,2326,Cessnock,"78 Fourth Street, Weston, 2326, Australia",,,"https://www.google.com/maps/search/?api=1&query=78+Fourth+Street,+Weston,+2326,+Australia"
10493,,40,Illingari Circuit,Taree,2430,Mid-Coast,"40 Illingari Circuit, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=40+Illingari+Circuit,+Taree,+2430,+Australia"
10496,,73,Stokes Circuit,Taree,2430,Mid-Coast,"73 Stokes Circuit, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=73+Stokes+Circuit,+Taree,+2430,+Australia"
10522,,7,Thorp Close,Cessnock,2325,Cessnock,"7 Thorp Close, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=7+Thorp+Close,+Cessnock,+2325,+Australia"
10530,,14,Bushland Drive,Taree,2430,Mid-Coast,"14 Bushland Drive, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=14+Bushland+Drive,+Taree,+2430,+Australia"
10550,,12,Tulloch Close,Singleton,2330,Singleton,"12 Tulloch Close, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=12+Tulloch+Close,+Singleton,+2330,+Australia"
10556,,4,Frances Street,Gloucester,2422,Mid-Coast,"4 Frances Street, Gloucester, 2422, Australia",,,"https://www.google.com/maps/search/?api=1&query=4+Frances+Street,+Gloucester,+2422,+Australia"
10566,,15,Brown Street,Cessnock,2325,Cessnock,"15 Brown Street, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=15+Brown+Street,+Cessnock,+2325,+Australia"
10587,,115,Fourth Street,Weston,2326,Cessnock,"115 Fourth Street, Weston, 2326, Australia",,,"https://www.google.com/maps/search/?api=1&query=115+Fourth+Street,+Weston,+2326,+Australia"
10589,,30,Avon Street,Gloucester,2422,Mid-Coast,"30 Avon Street, Gloucester, 2422, Australia",,,"https://www.google.com/maps/search/?api=1&query=30+Avon+Street,+Gloucester,+2422,+Australia"
10592,,62-64,Kanangra Drive,Taree,2430,Mid-Coast,"62-64 Kanangra Drive, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=62-64+Kanangra+Drive,+Taree,+2430,+Australia"
10596,2,4,Yango Street,Cessnock,2325,Cessnock,"4 Yango Street, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=4+Yango+Street,+Cessnock,+2325,+Australia"
10603,1,4,Yango Street,Cessnock,2325,Cessnock,"4 Yango Street, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=4+Yango+Street,+Cessnock,+2325,+Australia"
10606,,4,Nelson Street,Cessnock,2325,Cessnock,"4 Nelson Street, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=4+Nelson+Street,+Cessnock,+2325,+Australia"
10618,,27,Wermol Street,Kurri Kurri,2327,Cessnock,"27 Wermol Street, Kurri Kurri, 2327, Australia",,,"https://www.google.com/maps/search/?api=1&query=27+Wermol+Street,+Kurri+Kurri,+2327,+Australia"
10624,,21,Wilkinson Boulevard,Hunterview,2330,Singleton,"21 Wilkinson Boulevard, Hunterview, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=21+Wilkinson+Boulevard,+Hunterview,+2330,+Australia"
10631,,15,Buckland Avenue,Cessnock,2325,Cessnock,"15 Buckland Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=15+Buckland+Avenue,+Cessnock,+2325,+Australia"
10634,,31,Benara Crescent,Forster,2428,Mid-Coast,"31 Benara Crescent, Forster, 2428, Australia",,,"https://www.google.com/maps/search/?api=1&query=31+Benara+Crescent,+Forster,+2428,+Australia"
10635,,4,Allumba Close,Taree,2430,Mid-Coast,"4 Allumba Close, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=4+Allumba+Close,+Taree,+2430,+Australia"
10644,,6,Bushland Drive,Taree,2430,Mid-Coast,"6 Bushland Drive, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=6+Bushland+Drive,+Taree,+2430,+Australia"
10658,,18,Wills Close,Singleton Heights,2330,Singleton,"18 Wills Close, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=18+Wills+Close,+Singleton+Heights,+2330,+Australia"
10659,,6,Coulson Avenue,Cessnock,2325,Cessnock,"6 Coulson Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=6+Coulson+Avenue,+Cessnock,+2325,+Australia"
10671,,10,Pine Close,Gloucester,2422,Mid-Coast,"10 Pine Close, Gloucester, 2422, Australia",,,"https://www.google.com/maps/search/?api=1&query=10+Pine+Close,+Gloucester,+2422,+Australia"
10686,,117,Fourth Street,Weston,2326,Cessnock,"117 Fourth Street, Weston, 2326, Australia",,,"https://www.google.com/maps/search/?api=1&query=117+Fourth+Street,+Weston,+2326,+Australia"
10690,,47,Orchard Avenue,Singleton,2330,Singleton,"47 Orchard Avenue, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=47+Orchard+Avenue,+Singleton,+2330,+Australia"
10763,,18,Davies Close,Weston,2326,Cessnock,"18 Davies Close, Weston, 2326, Australia",,,"https://www.google.com/maps/search/?api=1&query=18+Davies+Close,+Weston,+2326,+Australia"
10775,,4,Brown Close,Singleton,2330,Singleton,"4 Brown Close, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=4+Brown+Close,+Singleton,+2330,+Australia"
10800,,20,Andrew Close,Taree,2430,Mid-Coast,"20 Andrew Close, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=20+Andrew+Close,+Taree,+2430,+Australia"
10807,,63,Buchan Avenue,Singleton,2330,Singleton,"63 Buchan Avenue, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=63+Buchan+Avenue,+Singleton,+2330,+Australia"
10809,,37,Valerie Street,Taree,2430,Mid-Coast,"37 Valerie Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=37+Valerie+Street,+Taree,+2430,+Australia"
10813,,4,Kingston Close,Singleton,2330,Singleton,"4 Kingston Close, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=4+Kingston+Close,+Singleton,+2330,+Australia"
10832,,30,Smith Street,Taree,2430,Mid-Coast,"30 Smith Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=30+Smith+Street,+Taree,+2430,+Australia"
10859,,15,Moon Street,Wingham,2429,Mid-Coast,"15 Moon Street, Wingham, 2429, Australia",,,"https://www.google.com/maps/search/?api=1&query=15+Moon+Street,+Wingham,+2429,+Australia"
10861,,14,Gwenneth Avenue,Taree,2430,Mid-Coast,"14 Gwenneth Avenue, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=14+Gwenneth+Avenue,+Taree,+2430,+Australia"
10867,,1,Gwenneth Avenue,Taree,2430,Mid-Coast,"1 Gwenneth Avenue, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=1+Gwenneth+Avenue,+Taree,+2430,+Australia"
10879,,25,Hooke Street,Taree,2430,Mid-Coast,"25 Hooke Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=25+Hooke+Street,+Taree,+2430,+Australia"
10886,,4,Blaxland Avenue,Singleton Heights,2330,Singleton,"4 Blaxland Avenue, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=4+Blaxland+Avenue,+Singleton+Heights,+2330,+Australia"
10895,,6,Wills Close,Singleton Heights,2330,Singleton,"6 Wills Close, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=6+Wills+Close,+Singleton+Heights,+2330,+Australia"
10915,,22,Wills Close,Singleton Heights,2330,Singleton,"22 Wills Close, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=22+Wills+Close,+Singleton+Heights,+2330,+Australia"
10920,,9,Ronald Road,Taree,2430,Mid-Coast,"9 Ronald Road, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=9+Ronald+Road,+Taree,+2430,+Australia"
10933,,16,Maclean Street,Cessnock,2325,Cessnock,"16 Maclean Street, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=16+Maclean+Street,+Cessnock,+2325,+Australia"
10934,,1,Duguid Close,Cessnock,2325,Cessnock,"1 Duguid Close, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=1+Duguid+Close,+Cessnock,+2325,+Australia"
10939,,1,Blaxland Avenue,Singleton Heights,2330,Singleton,"1 Blaxland Avenue, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=1+Blaxland+Avenue,+Singleton+Heights,+2330,+Australia"
10972,,9,Galloway Street,Kurri Kurri,2327,Cessnock,"9 Galloway Street, Kurri Kurri, 2327, Australia",,,"https://www.google.com/maps/search/?api=1&query=9+Galloway+Street,+Kurri+Kurri,+2327,+Australia"
10988,,8,Frances Street,Gloucester,2422,Mid-Coast,"8 Frances Street, Gloucester, 2422, Australia",,,"https://www.google.com/maps/search/?api=1&query=8+Frances+Street,+Gloucester,+2422,+Australia"
10996,,38,Kelso Street,Singleton,2330,Singleton,"38 Kelso Street, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=38+Kelso+Street,+Singleton,+2330,+Australia"
11006,,17,Brown Street,Cessnock,2325,Cessnock,"17 Brown Street, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=17+Brown+Street,+Cessnock,+2325,+Australia"
11022,,7,Barton Street,Taree,2430,Mid-Coast,"7 Barton Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=7+Barton+Street,+Taree,+2430,+Australia"
11049,,26,Jones Street,Dungog,2420,Dungog,"26 Jones Street, Dungog, 2420, Australia",,,"https://www.google.com/maps/search/?api=1&query=26+Jones+Street,+Dungog,+2420,+Australia"
11053,,36,O'Toole Street,Weston,2326,Cessnock,"36 O'Toole Street, Weston, 2326, Australia",,,"https://www.google.com/maps/search/?api=1&query=36+O'Toole+Street,+Weston,+2326,+Australia"
11058,,34,Railway Parade,Kurri Kurri,2327,Cessnock,"34 Railway Parade, Kurri Kurri, 2327, Australia",,,"https://www.google.com/maps/search/?api=1&query=34+Railway+Parade,+Kurri+Kurri,+2327,+Australia"
11059,,2,Hume Close,Singleton Heights,2330,Singleton,"2 Hume Close, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=2+Hume+Close,+Singleton+Heights,+2330,+Australia"
11079,,3,Alkira Avenue,Cessnock,2325,Cessnock,"3 Alkira Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=3+Alkira+Avenue,+Cessnock,+2325,+Australia"
11090,,15,Thorp Close,Cessnock,2325,Cessnock,"15 Thorp Close, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=15+Thorp+Close,+Cessnock,+2325,+Australia"
11097,,1,Mitchell Avenue,Singleton Heights,2330,Singleton,"1 Mitchell Avenue, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=1+Mitchell+Avenue,+Singleton+Heights,+2330,+Australia"
1110,,18,Highland Cresent,Hamlyn Terrace,2259,Central Coast (NSW),"18 Highland Cresent, Hamlyn Terrace, 2259, Australia",,,"https://www.google.com/maps/search/?api=1&query=18+Highland+Cresent,+Hamlyn+Terrace,+2259,+Australia"
11105,,17,Wakehurst Crescent,Singleton Heights,2330,Singleton,"17 Wakehurst Crescent, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=17+Wakehurst+Crescent,+Singleton+Heights,+2330,+Australia"
11124,,15,Saxton Street,Kurri Kurri,2327,Cessnock,"15 Saxton Street, Kurri Kurri, 2327, Australia",,,"https://www.google.com/maps/search/?api=1&query=15+Saxton+Street,+Kurri+Kurri,+2327,+Australia"
11148,,8,Strathmore Place,Taree,2430,Mid-Coast,"8 Strathmore Place, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=8+Strathmore+Place,+Taree,+2430,+Australia"
1115,,2,Phyllis Avenue,Kanwal,2259,Central Coast (NSW),"2 Phyllis Avenue, Kanwal, 2259, Australia",,,"https://www.google.com/maps/search/?api=1&query=2+Phyllis+Avenue,+Kanwal,+2259,+Australia"
11158,,11,Galloway Street,Kurri Kurri,2327,Cessnock,"11 Galloway Street, Kurri Kurri, 2327, Australia",,,"https://www.google.com/maps/search/?api=1&query=11+Galloway+Street,+Kurri+Kurri,+2327,+Australia"
1116,,48,Walker Avenue,Kanwal,2259,Central Coast (NSW),"48 Walker Avenue, Kanwal, 2259, Australia",,,"https://www.google.com/maps/search/?api=1&query=48+Walker+Avenue,+Kanwal,+2259,+Australia"
11161,,19,Pindari Crescent,Taree,2430,Mid-Coast,"19 Pindari Crescent, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=19+Pindari+Crescent,+Taree,+2430,+Australia"
11168,,22,Nuwarra Circuit,Forster,2428,Mid-Coast,"22 Nuwarra Circuit, Forster, 2428, Australia",,,"https://www.google.com/maps/search/?api=1&query=22+Nuwarra+Circuit,+Forster,+2428,+Australia"
11183,,70,Kanangra Drive,Taree,2430,Mid-Coast,"70 Kanangra Drive, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=70+Kanangra+Drive,+Taree,+2430,+Australia"
11186,,15,Mitchell Close,Cessnock,2325,Cessnock,"15 Mitchell Close, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=15+Mitchell+Close,+Cessnock,+2325,+Australia"
11223,,12,Blaxland Avenue,Singleton Heights,2330,Singleton,"12 Blaxland Avenue, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=12+Blaxland+Avenue,+Singleton+Heights,+2330,+Australia"
11240,,36,Francis Street,Cessnock,2325,Cessnock,"36 Francis Street, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=36+Francis+Street,+Cessnock,+2325,+Australia"
11255,,8A,Bahtoo Parade,Taree,2430,Mid-Coast,"8A Bahtoo Parade, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=8A+Bahtoo+Parade,+Taree,+2430,+Australia"
11276,,13,Wakehurst Crescent,Singleton Heights,2330,Singleton,"13 Wakehurst Crescent, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=13+Wakehurst+Crescent,+Singleton+Heights,+2330,+Australia"
11282,,52,Blaxland Avenue,Singleton Heights,2330,Singleton,"52 Blaxland Avenue, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=52+Blaxland+Avenue,+Singleton+Heights,+2330,+Australia"
11286,,17,Saxton Street,Kurri Kurri,2327,Cessnock,"17 Saxton Street, Kurri Kurri, 2327, Australia",,,"https://www.google.com/maps/search/?api=1&query=17+Saxton+Street,+Kurri+Kurri,+2327,+Australia"
11293,,5,Cedar Grove,Forster,2428,Mid-Coast,"5 Cedar Grove, Forster, 2428, Australia",,,"https://www.google.com/maps/search/?api=1&query=5+Cedar+Grove,+Forster,+2428,+Australia"
11303,,66,Blaxland Avenue,Singleton Heights,2330,Singleton,"66 Blaxland Avenue, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=66+Blaxland+Avenue,+Singleton+Heights,+2330,+Australia"
11309,,33,Valerie Street,Taree,2430,Mid-Coast,"33 Valerie Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=33+Valerie+Street,+Taree,+2430,+Australia"
11339,1,1-11,Heath Avenue,Tuncurry,2428,Mid-Coast,"1-11 Heath Avenue, Tuncurry, 2428, Australia",,,"https://www.google.com/maps/search/?api=1&query=1-11+Heath+Avenue,+Tuncurry,+2428,+Australia"
11347,,6,Casson Avenue,Cessnock,2325,Cessnock,"6 Casson Avenue, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=6+Casson+Avenue,+Cessnock,+2325,+Australia"
11360,,18,Barton Street,Taree,2430,Mid-Coast,"18 Barton Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=18+Barton+Street,+Taree,+2430,+Australia"
11365,,27,Kennedy Street,Singleton,2330,Singleton,"27 Kennedy Street, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=27+Kennedy+Street,+Singleton,+2330,+Australia"
11367,,11,Valerie Street,Taree,2430,Mid-Coast,"11 Valerie Street, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=11+Valerie+Street,+Taree,+2430,+Australia"
11379,,13,Tulloch Close,Singleton,2330,Singleton,"13 Tulloch Close, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=13+Tulloch+Close,+Singleton,+2330,+Australia"
11380,,42,Kelso Street,Singleton,2330,Singleton,"42 Kelso Street, Singleton, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=42+Kelso+Street,+Singleton,+2330,+Australia"
11385,,50,Warrina Close,Taree,2430,Mid-Coast,"50 Warrina Close, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=50+Warrina+Close,+Taree,+2430,+Australia"
11393,,9,Brown Street,Cessnock,2325,Cessnock,"9 Brown Street, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=9+Brown+Street,+Cessnock,+2325,+Australia"
11397,,17,Wentworth Avenue,Singleton Heights,2330,Singleton,"17 Wentworth Avenue, Singleton Heights, 2330, Australia",,,"https://www.google.com/maps/search/?api=1&query=17+Wentworth+Avenue,+Singleton+Heights,+2330,+Australia"
11425,,8,Nelson Street,Cessnock,2325,Cessnock,"8 Nelson Street, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=8+Nelson+Street,+Cessnock,+2325,+Australia"
11432,,12,Cook Place,Taree,2430,Mid-Coast,"12 Cook Place, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=12+Cook+Place,+Taree,+2430,+Australia"
11438,,9,Mackellar Street,Cessnock,2325,Cessnock,"9 Mackellar Street, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=9+Mackellar+Street,+Cessnock,+2325,+Australia"
11450,,5,Thorp Close,Cessnock,2325,Cessnock,"5 Thorp Close, Cessnock, 2325, Australia",,,"https://www.google.com/maps/search/?api=1&query=5+Thorp+Close,+Cessnock,+2325,+Australia"
11465,,79,Hospital Road,Weston,2326,Cessnock,"79 Hospital Road, Weston, 2326, Australia",,,"https://www.google.com/maps/search/?api=1&query=79+Hospital+Road,+Weston,+2326,+Australia"
11466,,4,Pindari Crescent,Taree,2430,Mid-Coast,"4 Pindari Crescent, Taree, 2430, Australia",,,"https://www.google.com/maps/search/?api=1&query=4+Pindari+Crescent,+Taree,+2430,+Australia"
11469,,1,Galloway Street,Kurri Kurri,2327,Cessnock,"1 Galloway Street, Kurri Kurri, 2327, Australia",,,"https://www.google.com/maps/search/?api=1&query=1+Galloway+Street,+Kurri+Kurri,+2327,+Australia"
